id;title;name;display_name;job_title;image_50x50;image_100x100;initials;url;user_id
20;SuperDataScience Team;SuperDataScience;SuperDataScience Team;Helping Data Scientists Succeed;https://img-c.udemycdn.com/user/50x50/27129696_acc1_4.jpg;https://img-c.udemycdn.com/user/100x100/27129696_acc1_4.jpg;ST;https://www.udemy.com/user/superdatascience-team/;1

21;Ligency Team;Ligency;Ligency Team;Helping Data Scientists Succeed;https://img-c.udemycdn.com/user/50x50/150405524_94b0_4.jpg;https://img-c.udemycdn.com/user/100x100/150405524_94b0_4.jpg;LT;https://www.udemy.com/user/ligency-team/;1

22;Tim Buchalka;Tim;Tim Buchalka;Java Python Android and C# Expert Developer - 1.32M students;https://img-c.udemycdn.com/user/50x50/599932_71aa_5.jpg;https://img-c.udemycdn.com/user/100x100/599932_71aa_5.jpg;TB;https://www.udemy.com/user/timbuchalka/;1

23;Tim Buchalka's Learn Programming Academy;Tim Buchalka's Learn;Tim Buchalka's Learn Programming Academy;Professional Programmers and Teachers - 1.82M students;https://img-c.udemycdn.com/user/50x50/35101150_6f0c_4.jpg;https://img-c.udemycdn.com/user/100x100/35101150_6f0c_4.jpg;TP;https://www.udemy.com/user/learn-programming-academy/;1

25;Rob Percival;Rob;Rob Percival;Web Developer And Teacher;https://img-c.udemycdn.com/user/50x50/4387876_78bc.jpg;https://img-c.udemycdn.com/user/100x100/4387876_78bc.jpg;RP;https://www.udemy.com/user/robpercival/;1

26;Daragh Walsh;Daragh;Daragh Walsh;Join 1 Million Students In My Best Selling Courses!;https://img-c.udemycdn.com/user/50x50/1800590_e000_5.jpg;https://img-c.udemycdn.com/user/100x100/1800590_e000_5.jpg;DW;https://www.udemy.com/user/daraghmichaelw/;1

27;Codestars • over 2 million students worldwide!;Codestars;Codestars • over 2 million students worldwide!;Teaching the Next Generation of Coders;https://img-c.udemycdn.com/user/50x50/33231436_2824_3.jpg;https://img-c.udemycdn.com/user/100x100/33231436_2824_3.jpg;C ;https://www.udemy.com/user/codestars/;1

34;Zaid Sabih;Zaid;Zaid Sabih;Ethical Hacker, Computer Scientist & CEO of zSecurity;https://img-b.udemycdn.com/user/50x50/6956218_3564_4.jpg;https://img-b.udemycdn.com/user/100x100/6956218_3564_4.jpg;ZS;https://www.udemy.com/user/zaidsabih/;1

35;z Security;z;z Security;Leading provider of ethical hacking and cyber security training,;https://img-b.udemycdn.com/user/50x50/41384972_fbb7_2.jpg;https://img-b.udemycdn.com/user/100x100/41384972_fbb7_2.jpg;ZS;https://www.udemy.com/user/zsecurity-2/;1

